1,1,-8.265039243e-001,  -6.940046407e-001,  -6.026732457e-001,  -5.164411462e-001,  -4.591883561e-001,  -3.956783799e-001,  -3.537255447e-001,  -3.072636987e-001,  -2.787883131e-001,  -2.409505023e-001,  -8.044699984e-002,  -4.278270727e-002,  9.900000000e+037,  9.900000000e+037,  -1.038466511e-002
1,0,  -1.940143054e-001,  -1.790608583e-001,  -1.705777560e-001,  -1.648505170e-001,  -1.645038914e-001,  -1.583953513e-001,  -1.541046001e-001,  -1.450940357e-001,  -1.420291013e-001,  -1.329637103e-001,  -4.862024861e-002,  -5.724597775e-002,  9.900000000e+037,  9.900000000e+037,  -1.041012750e-001
2,1,-8.588402527e-001,  -7.164339036e-001,  -6.164583030e-001,  -5.181809063e-001,  -4.540072356e-001,  -3.855971197e-001,  -3.402180606e-001,  -2.912850760e-001,  -2.614568120e-001,  -2.221412891e-001,  -8.044989232e-002,  -3.960485486e-002,  9.900000000e+037,  9.900000000e+037,  -7.741859080e-003
2,0,  -1.916912550e-001,  -1.760992562e-001,  -1.674960342e-001,  -1.607438371e-001,  -1.601195448e-001,  -1.538019054e-001,  -1.498613137e-001,  -1.402247580e-001,  -1.368787554e-001,  -1.275682818e-001,  -4.484268719e-002,  -6.248368629e-002,  9.900000000e+037,  9.900000000e+037,  -1.117467707e-001
3,1,-8.809471605e-001,  -7.349781678e-001,  -6.310698608e-001,  -5.312840446e-001,  -4.654636316e-001,  -3.956632443e-001,  -3.486663544e-001,  -2.995403826e-001,  -2.688797836e-001,  -2.276309451e-001,  -8.228295887e-002,  -3.556388464e-002,  9.900000000e+037,  9.900000000e+037,  -1.078088100e-002
3,0,  -2.271607719e-001,  -2.081972424e-001,  -1.973904751e-001,  -1.856575407e-001,  -1.810064227e-001,  -1.687427547e-001,  -1.595453309e-001,  -1.476901818e-001,  -1.414325997e-001,  -1.286409463e-001,  -3.785079337e-002,  -2.225813411e-002,  9.900000000e+037,  9.900000000e+037,  -1.026480750e-001
4,1,-7.996253324e-001,  -6.709660189e-001,  -5.813107010e-001,  -4.912504073e-001,  -4.310147247e-001,  -3.658778712e-001,  -3.232353175e-001,  -2.777205749e-001,  -2.485938104e-001,  -2.118717636e-001,  -7.201270560e-002,  -6.571874890e-002,  9.900000000e+037,  9.900000000e+037,  -2.686776472e-002
4,0,  -2.247512310e-001,  -2.061084329e-001,  -1.964989646e-001,  -1.864235344e-001,  -1.812530705e-001,  -1.702585400e-001,  -1.631851038e-001,  -1.514703671e-001,  -1.464045847e-001,  -1.366081287e-001,  -3.633341105e-002,  -5.471934376e-002,  9.900000000e+037,  9.900000000e+037,  -1.238194950e-001
1,1,-5.494006824e-001,  -4.607644757e-001,  -3.985738915e-001,  -3.398650087e-001,  -3.021939097e-001,  -2.618402259e-001,  -2.351802827e-001,  -2.059731854e-001,  -1.885423293e-001,  -1.640123886e-001,  -5.446419809e-002,  -9.025901019e-003,  9.900000000e+037,  9.900000000e+037,  -5.498223899e-002
1,0,  -2.060002906e-001,  -1.851026536e-001,  -1.721321309e-001,  -1.593873272e-001,  -1.525770310e-001,  -1.414020528e-001,  -1.361496744e-001,  -1.255024204e-001,  -1.216292167e-001,  -1.123590439e-001,  -3.542727777e-002,  -5.967955003e-002,  9.900000000e+037,  9.900000000e+037,  -1.318018723e-001
2,1,-8.785035638e-001,  -7.329603532e-001,  -6.287568386e-001,  -5.301179300e-001,  -4.660265850e-001,  -3.961181097e-001,  -3.487621603e-001,  -3.006460972e-001,  -2.696654334e-001,  -2.295351018e-001,  -8.162176850e-002,  -3.382146752e-002,  9.900000000e+037,  9.900000000e+037,  -1.422724691e-002
2,0,  -2.469485119e-001,  -2.241987946e-001,  -2.127364619e-001,  -1.949360738e-001,  -1.833572837e-001,  -1.662679434e-001,  -1.562672231e-001,  -1.438212805e-001,  -1.368263507e-001,  -1.247727004e-001,  -2.381722744e-002,  -1.073142309e-002,  9.900000000e+037,  9.900000000e+037,  -1.100817389e-001
