Number of cycles,Semicycle,1,2,3,4,5,6,7,8,9,10,11
58,0,  -2.331597171e-001,  -3.030942600e-002,  -6.024224066e-002,  3.107329880e-002,  -1.050495451e-002,  -1.121821067e-002,  -6.616196621e-002,  -3.539355163e-002,  3.732372453e+001,  3.706898265e+001,  -3.826727080e-001
59,1,-2.562869859e-001,  -4.153931588e-002,  -8.610200795e-002,  2.523782810e-002,  -1.499274177e-002,  5.215124784e-002,  -1.799638729e-002,  -1.231399505e-002,  3.728102274e+001,  3.693302314e+001,  -3.848430619e-001
59,0,  -2.597430837e-001,  -8.276299879e-002,  -8.913651766e-002,  -1.923782534e-002,  -1.316735304e-002,  -2.604798644e-002,  -6.673453268e-002,  -5.228960014e-002,  3.725234377e+001,  3.694105671e+001,  -4.045611893e-001
60,1,-2.382761607e-001,  -4.169817772e-002,  -2.676970853e-002,  1.326655560e-002,  -1.604830717e-002,  -1.353249357e-001,  -1.187897657e-001,  -2.168608129e-002,  3.718324564e+001,  3.686833934e+001,  -3.468611186e-001
60,0,  -1.209976378e-001,  -1.874275338e-002,  -1.471942704e-002,  2.701212880e-002,  -1.590399752e-002,  -1.880098210e-001,  -1.766725906e-001,  -5.949679458e-002,  3.717745383e+001,  3.688184671e+001,  -3.723116717e-001
61,1,-1.956108108e-001,  -3.282213007e-002,  -1.121594502e-001,  3.985937750e-002,  -7.326934715e-003,  5.140695160e-002,  -1.563848032e-002,  5.067038468e-002,  3.706122325e+001,  3.679594029e+001,  -3.470923104e-001
61,0,  -2.693441824e-001,  -6.885227015e-002,  -1.450790240e-001,  1.759271973e-002,  -4.393801241e-003,  9.707216994e-002,  1.812502445e-002,  5.632469147e-002,  3.707534296e+001,  3.680401134e+001,  -3.480416426e-001
62,1,-2.959748873e-001,  -3.834332048e-002,  -8.349182314e-002,  2.605460667e-002,  -1.332729151e-002,  3.825238715e-002,  -2.923189178e-002,  -2.410822612e-002,  3.706504124e+001,  3.672965128e+001,  -3.882177841e-001
62,0,  -2.590041968e-001,  -8.419806668e-002,  -1.066692840e-001,  -1.954192930e-002,  -1.262486027e-002,  -5.452832279e-002,  -5.977130979e-002,  3.077816166e-002,  3.704898838e+001,  3.673012583e+001,  -3.231874520e-001
63,1,-2.569723626e-001,  -3.926556579e-002,  -5.251367076e-002,  2.592180456e-002,  -1.435459640e-002,  -1.078513060e-001,  -9.383406757e-002,  2.701285076e-002,  3.699667785e+001,  3.670236000e+001,  -2.971738765e-001
63,0,  -1.545381282e-001,  -2.706065248e-002,  -1.019920286e-001,  5.254409213e-002,  -1.109911278e-002,  -1.015530342e-002,  -6.375498843e-002,  4.989487692e-002,  3.696995915e+001,  3.668194146e+001,  -3.270335014e-001
64,1,-2.503633254e-001,  -3.764997400e-002,  -1.180447499e-001,  3.544209696e-002,  -1.033111108e-002,  7.843021150e-002,  7.534052262e-003,  5.746937755e-002,  3.694366194e+001,  3.670402552e+001,  -3.401909261e-001
64,0,  -3.006814039e-001,  -7.552705719e-002,  -1.456260861e-001,  1.578396902e-002,  -4.301032823e-003,  7.153285474e-002,  7.110064606e-003,  6.011459618e-002,  3.691185917e+001,  3.667183328e+001,  -3.271463863e-001
65,1,-2.956071121e-001,  -3.540000158e-002,  -3.126110706e-002,  2.071937278e-002,  -1.384833536e-002,  -1.208096689e-001,  -1.034945089e-001,  -5.213066248e-003,  3.687770529e+001,  3.663509175e+001,  -3.383022099e-001
65,0,  -1.618566040e-001,  -3.875161857e-002,  -1.186562735e-001,  4.209621171e-002,  -1.326471729e-002,  4.687191425e-002,  -4.139280591e-002,  1.090150575e-002,  3.685753135e+001,  3.659092421e+001,  -3.799679702e-001
66,1,-2.696081252e-001,  -4.129816416e-002,  -1.117488741e-001,  3.246571418e-002,  -1.075361816e-002,  1.054949874e-001,  1.144037972e-002,  2.090583671e-002,  3.687404075e+001,  3.662135966e+001,  -3.843408949e-001
66,0,  -3.219363491e-001,  -8.210252850e-002,  -6.728421389e-002,  -1.393956582e-002,  -8.867753092e-003,  -1.072284230e-001,  -1.007345497e-001,  -3.941887959e-002,  3.687926199e+001,  3.655914469e+001,  -3.686450405e-001
67,1,-2.430610456e-001,  -3.937062746e-002,  -3.186576459e-002,  2.045583825e-002,  -1.452796797e-002,  -1.039110116e-001,  -1.123098378e-001,  -4.549058115e-002,  3.681149074e+001,  3.654165500e+001,  -3.886850069e-001
67,0,  -1.553894030e-001,  -5.246507869e-002,  -5.673284694e-002,  -1.846577376e-004,  -1.484667050e-002,  -1.592599144e-001,  -1.392690764e-001,  -7.460903817e-003,  3.680114325e+001,  3.653936598e+001,  -3.328607449e-001
68,1,-1.989425995e-001,  -1.663843913e-002,  -1.919811390e-002,  3.085938050e-002,  -1.298434051e-002,  -1.058978438e-001,  -1.158931642e-001,  -4.418327220e-002,  3.673034727e+001,  3.644261730e+001,  -3.894040827e-001
68,0,  -1.457212531e-001,  -5.275941104e-002,  -1.203509287e-001,  1.139874586e-002,  -8.329356415e-003,  -1.010837997e-002,  -6.692211954e-002,  3.080867078e-002,  3.675878433e+001,  3.643435632e+001,  -3.465465868e-001
69,1,-2.386608517e-001,  -2.041226256e-002,  -1.348457597e-002,  2.304553560e-002,  -1.552504032e-002,  -1.142037550e-001,  -1.098421540e-001,  -3.870709188e-002,  3.666206969e+001,  3.644967769e+001,  -3.771348146e-001
69,0,  -1.434269532e-001,  -4.449228942e-002,  -1.143634657e-001,  2.038208915e-002,  -1.191852448e-002,  4.469289983e-002,  -4.117069227e-002,  -7.336722591e-003,  3.665093902e+001,  3.642545014e+001,  -3.936934363e-001
70,1,-2.621399479e-001,  -4.200150801e-002,  -6.569087593e-002,  2.164411978e-002,  -1.412967074e-002,  -7.892210586e-002,  -7.865412628e-002,  3.759606283e-002,  3.667009765e+001,  3.648893129e+001,  -3.082283908e-001
70,0,  -1.961243346e-001,  -2.311650115e-002,  -7.402858625e-002,  5.009484246e-002,  -1.320747925e-002,  -8.234845829e-003,  -6.959020670e-002,  -2.187461855e-002,  3.663760563e+001,  3.648163626e+001,  -3.838063407e-001
71,1,-2.592617341e-001,  -4.867063083e-002,  -1.277953820e-001,  3.162199472e-002,  -9.751448169e-003,  1.108359058e-001,  1.721110197e-002,  3.935706561e-002,  3.657685559e+001,  3.637563139e+001,  -3.674110011e-001
71,0,  -3.256385357e-001,  -9.851374355e-002,  -1.724066912e-001,  6.237401970e-004,  -5.331726078e-003,  1.251350327e-001,  3.070249417e-002,  3.002128013e-002,  3.660513504e+001,  3.640302449e+001,  -3.821533353e-001
72,1,-3.296177337e-001,  -6.083139803e-002,  -1.188513399e-001,  2.436480384e-002,  -1.100825976e-002,  1.933523308e-002,  -2.268068133e-002,  6.320818424e-002,  3.659547100e+001,  3.635375063e+001,  -3.018900795e-001
72,0,  -2.900052417e-001,  -7.148947217e-002,  -1.473217812e-001,  2.860015193e-002,  -9.115194179e-003,  1.123658223e-001,  1.902549628e-002,  3.632116714e-002,  3.657128768e+001,  3.635738999e+001,  -3.673721622e-001
73,1,-3.232052040e-001,  -6.133150634e-002,  -1.438301074e-001,  2.783082101e-002,  -8.579433295e-003,  1.058593682e-001,  1.953569942e-002,  4.910021217e-002,  3.651486881e+001,  3.629617030e+001,  -3.427870880e-001
73,0,  -3.545794851e-001,  -1.043252271e-001,  -1.821002691e-001,  3.479451343e-003,  -3.946433398e-003,  1.172318274e-001,  3.836088752e-002,  5.631114208e-002,  3.652201211e+001,  3.630242266e+001,  -3.475931965e-001
74,1,-3.157903656e-001,  -4.041234907e-002,  -4.993007428e-002,  1.922086921e-002,  -1.289824933e-002,  -6.259551333e-002,  -8.499510315e-002,  -4.220420104e-002,  3.647424523e+001,  3.616525387e+001,  -3.957578420e-001
74,0,  -2.197415721e-001,  -7.822073699e-002,  -1.405193320e-001,  -2.051875388e-003,  -1.173981536e-002,  8.600091173e-003,  -3.696583036e-002,  4.797295307e-002,  3.643878020e+001,  3.615215154e+001,  -3.331356015e-001
75,1,-2.726937629e-001,  -4.408088183e-002,  -1.015409710e-001,  3.036414927e-002,  -1.226599581e-002,  1.587655936e-002,  -2.150057072e-002,  6.617100462e-002,  3.644025867e+001,  3.613807793e+001,  -3.134256697e-001
75,0,  -2.577049097e-001,  -3.960275251e-002,  -6.015996561e-002,  3.012869575e-002,  -1.171876346e-002,  -2.784738077e-002,  -6.762125561e-002,  -3.048648062e-002,  3.644457490e+001,  3.618290234e+001,  -3.891059332e-001
76,1,-2.600663240e-001,  -4.792357678e-002,  -1.117003460e-001,  2.891956040e-002,  -1.181889183e-002,  9.751520893e-002,  5.467382041e-003,  9.507323586e-003,  3.633919263e+001,  3.613742417e+001,  -3.853292456e-001
76,0,  -3.029367967e-001,  -9.482986314e-002,  -7.913360393e-002,  -2.223363636e-002,  -1.047946742e-002,  -1.098857474e-001,  -8.797402725e-002,  -8.921055407e-003,  3.631988657e+001,  3.614678965e+001,  -3.374134369e-001
77,1,-2.473572968e-001,  -4.973835842e-002,  -1.318316386e-001,  3.649725175e-002,  -8.143199476e-003,  9.851550122e-002,  1.107507419e-002,  4.381152042e-002,  3.633164726e+001,  3.606691965e+001,  -3.568577325e-001
77,0,  -3.124569886e-001,  -6.956862724e-002,  -5.794882480e-002,  -3.305411590e-003,  -7.243318300e-003,  -1.022834169e-001,  -9.900119515e-002,  -3.758109878e-002,  3.632215816e+001,  3.607760387e+001,  -3.633538155e-001
78,1,-2.285549981e-001,  -3.025824210e-002,  -1.612058419e-002,  2.141073228e-002,  -1.357123914e-002,  -1.336609316e-001,  -1.241918596e-001,  -4.024246837e-002,  3.626961793e+001,  3.603136298e+001,  -3.792432873e-001
78,0,  -1.315167901e-001,  -4.056396429e-002,  -9.548167647e-002,  1.698681091e-002,  -1.477736349e-002,  -3.711962528e-003,  -7.488586564e-002,  -3.947268118e-002,  3.624013837e+001,  3.599894515e+001,  -4.061351210e-001
79,1,-2.351295586e-001,  -2.726402484e-002,  -1.565175935e-002,  1.590851977e-002,  -1.551973190e-002,  -1.213679357e-001,  -1.182718983e-001,  -4.524527382e-002,  3.624364823e+001,  3.596710495e+001,  -3.867713144e-001
79,0,  -1.352266082e-001,  -4.356843016e-002,  -1.098970406e-001,  1.619412135e-002,  -1.380699572e-002,  3.250564544e-002,  -5.116632922e-002,  -1.846327127e-002,  3.621721091e+001,  3.595522898e+001,  -4.022389966e-001
80,1,-2.759138621e-001,  -4.429767724e-002,  -8.390187322e-002,  2.059868183e-002,  -1.486548885e-002,  3.614438283e-002,  -3.295796711e-002,  -2.654449239e-002,  3.612917270e+001,  3.590440334e+001,  -3.992006154e-001
80,0,  -2.614335342e-001,  -1.017768249e-001,  -1.532357970e-001,  -2.397599671e-002,  -1.310697368e-002,  2.965926551e-002,  -1.611834664e-002,  5.046429327e-002,  3.613174049e+001,  3.589165257e+001,  -3.271726630e-001
81,1,-2.813451847e-001,  -4.077624668e-002,  -6.024225685e-002,  2.194345611e-002,  -1.473346162e-002,  -2.663922818e-002,  -8.003670063e-002,  -6.450456022e-002,  3.621228879e+001,  3.592875643e+001,  -4.156386684e-001
81,0,  -2.361576256e-001,  -1.121838589e-001,  -1.772729170e-001,  -4.141084082e-002,  -1.711316239e-002,  1.102518986e-001,  1.025983480e-002,  8.624573996e-003,  3.622687127e+001,  3.592759493e+001,  -3.989994434e-001
82,1,-3.126108266e-001,  -6.450942343e-002,  -1.233892661e-001,  2.225319212e-002,  -1.092207078e-002,  2.471139304e-002,  -1.747961340e-002,  6.461678896e-002,  3.615756832e+001,  3.592419797e+001,  -3.064717397e-001
82,0,  -2.859194271e-001,  -6.825377401e-002,  -1.231319500e-001,  2.518239632e-002,  -9.497482735e-003,  -1.450731945e-002,  -3.516571587e-002,  7.372407932e-002,  3.610471803e+001,  3.584503617e+001,  -2.869479049e-001
83,1,-2.870415539e-001,  -4.681971274e-002,  -1.096280861e-001,  3.409603942e-002,  -1.159307368e-002,  3.800762403e-002,  -9.486389500e-003,  6.922767692e-002,  3.604998819e+001,  3.577138684e+001,  -3.081286849e-001
83,0,  -2.810861905e-001,  -6.414962604e-002,  -1.295811620e-001,  2.860356935e-002,  -7.036080561e-003,  1.024824350e-001,  1.298866369e-002,  2.349953182e-002,  3.607613969e+001,  3.579289001e+001,  -3.683137819e-001
84,1,-3.005440829e-001,  -3.909042128e-002,  -3.349645273e-002,  1.838794546e-002,  -1.334856185e-002,  -9.007272531e-002,  -9.740765370e-002,  -4.315632351e-002,  3.603446624e+001,  3.571925921e+001,  -3.859007133e-001
84,0,  -1.895201550e-001,  -5.467896509e-002,  -4.921050875e-002,  -5.596849150e-003,  -1.436113864e-002,  -1.343192528e-001,  -1.409787006e-001,  -6.857699886e-002,  3.601180307e+001,  3.573602950e+001,  -4.036193390e-001
85,1,-2.316829131e-001,  -5.511865584e-002,  -1.326415665e-001,  3.144681881e-002,  -8.207730701e-003,  7.916719559e-002,  -3.227315772e-003,  4.668726443e-002,  3.599229848e+001,  3.568157487e+001,  -3.522287024e-001
85,0,  -3.001596773e-001,  -8.922403101e-002,  -1.580319649e-001,  7.183512405e-003,  -4.921938168e-003,  7.414323691e-002,  6.347626425e-003,  5.945150815e-002,  3.598822469e+001,  3.569302833e+001,  -3.266872221e-001
86,1,-3.011648925e-001,  -4.866801783e-002,  -1.300320462e-001,  3.452854323e-002,  -7.408761765e-003,  9.421569841e-002,  1.452818647e-002,  5.457456927e-002,  3.592767396e+001,  3.567990567e+001,  -3.380009158e-001
86,0,  -3.389349628e-001,  -7.571472719e-002,  -1.011146480e-001,  4.714071807e-003,  -5.522678600e-003,  8.704426914e-003,  -4.024643431e-002,  -3.357924176e-002,  3.588573110e+001,  3.561349627e+001,  -3.913675667e-001
87,1,-3.007491117e-001,  -6.500927274e-002,  -1.259379577e-001,  2.362025995e-002,  -1.007601604e-002,  4.312364969e-002,  -9.002259582e-003,  6.202040411e-002,  3.582642837e+001,  3.562241790e+001,  -3.155836004e-001
87,0,  -2.941289248e-001,  -6.511131869e-002,  -8.434516538e-002,  1.583862108e-002,  -9.869361351e-003,  -2.090325438e-002,  -6.646940683e-002,  -3.626591433e-002,  3.583432623e+001,  3.563219917e+001,  -3.864625934e-001
88,1,-2.677986725e-001,  -5.419882370e-002,  -1.221224966e-001,  2.809229470e-002,  -1.044880811e-002,  1.065936703e-001,  1.138287971e-002,  1.846072288e-002,  3.582406681e+001,  3.557032676e+001,  -3.799774778e-001
88,0,  -3.204583564e-001,  -9.788230209e-002,  -1.068840979e-001,  -1.519127009e-002,  -7.717928881e-003,  -7.365485144e-002,  -6.028555945e-002,  3.269044907e-002,  3.582675894e+001,  3.556796742e+001,  -3.148962017e-001
89,1,-2.523086573e-001,  -3.320417977e-002,  -3.269360234e-002,  2.435748919e-002,  -1.306594393e-002,  -1.334550554e-001,  -1.142274037e-001,  -2.035666199e-003,  3.575903073e+001,  3.553950969e+001,  -3.259497252e-001
89,0,  -1.487064356e-001,  -3.368313428e-002,  -1.214354930e-001,  4.796862712e-002,  -1.127771587e-002,  3.708586546e-002,  -4.248003846e-002,  3.597335536e-002,  3.574827575e+001,  3.552763660e+001,  -3.614932801e-001
90,1,-2.663027966e-001,  -3.887234372e-002,  -1.155583988e-001,  3.450906846e-002,  -8.839482058e-003,  1.110795767e-001,  2.176633371e-002,  3.689216475e-002,  3.577060366e+001,  3.548003789e+001,  -3.780866973e-001
90,0,  -3.302583281e-001,  -8.115599765e-002,  -8.219965289e-002,  -6.334320550e-003,  -5.480527941e-003,  -9.473686258e-002,  -7.475889872e-002,  1.615866627e-002,  3.571073857e+001,  3.544394530e+001,  -3.211802520e-001
91,1,-2.578398081e-001,  -4.592336123e-002,  -1.266613680e-001,  3.760742827e-002,  -7.980585934e-003,  9.446756955e-002,  1.171315946e-002,  4.813312484e-002,  3.572673970e+001,  3.542059601e+001,  -3.536753424e-001
91,0,  -3.249087105e-001,  -9.217453895e-002,  -1.587455475e-001,  6.331015743e-003,  -3.463099973e-003,  7.037830167e-002,  1.158331184e-002,  6.642668159e-002,  3.572610317e+001,  3.539891104e+001,  -3.287062340e-001
92,1,-3.212864671e-001,  -5.289390186e-002,  -1.147693416e-001,  2.995095840e-002,  -9.698129323e-003,  2.159964574e-002,  -1.559358876e-002,  7.091494268e-002,  3.558151530e+001,  3.529307898e+001,  -3.047452844e-001
92,0,  -2.914892291e-001,  -6.883626094e-002,  -1.517243177e-001,  3.137921089e-002,  -7.621501111e-003,  1.125169829e-001,  2.425546408e-002,  5.230895425e-002,  3.554912634e+001,  3.529923102e+001,  -3.526690732e-001
93,1,-3.297803717e-001,  -5.105874945e-002,  -5.540337351e-002,  1.979702098e-002,  -1.206691737e-002,  -9.529990700e-002,  -8.389904663e-002,  2.517077160e-002,  3.552803535e+001,  3.529822874e+001,  -3.143914499e-001
93,0,  -2.097826629e-001,  -3.238003466e-002,  -2.892912812e-002,  4.088953615e-002,  -1.316131292e-002,  -1.953873270e-001,  -1.698278726e-001,  -2.042139298e-002,  3.553965347e+001,  3.528200452e+001,  -3.240244063e-001
94,1,-2.281905452e-001,  -4.203100175e-002,  -1.162858460e-001,  4.208853721e-002,  -4.663144594e-003,  4.142890581e-002,  -2.400348386e-002,  5.060957214e-002,  3.541942570e+001,  3.516244939e+001,  -3.369170337e-001
94,0,  -2.874367531e-001,  -6.240696509e-002,  -8.119655179e-002,  1.023942779e-002,  -4.587218283e-003,  -1.017998451e-002,  -5.677468198e-002,  -3.999795266e-002,  3.539256905e+001,  3.513550225e+001,  -3.945172947e-001
95,1,-2.598595968e-001,  -5.006858823e-002,  -1.140550430e-001,  2.725224525e-002,  -9.848869984e-003,  3.419976559e-002,  -1.692459978e-002,  6.371318307e-002,  3.540819155e+001,  3.519494722e+001,  -3.220489692e-001
95,0,  -2.656554971e-001,  -5.580424959e-002,  -1.144589080e-001,  2.796636106e-002,  -9.219060796e-003,  8.454228189e-002,  1.981343663e-003,  8.386066532e-003,  3.539395456e+001,  3.519956003e+001,  -3.873922879e-001
96,1,-2.879494722e-001,  -5.244340903e-002,  -1.289758193e-001,  2.962658729e-002,  -8.367385754e-003,  8.506727684e-002,  5.651129703e-003,  5.411996026e-002,  3.541094577e+001,  3.515419067e+001,  -3.550181428e-001
96,0,  -3.282056740e-001,  -7.636648369e-002,  -1.159276954e-001,  9.873089021e-003,  -6.589900681e-003,  5.933446661e-002,  -9.049750978e-003,  -1.417423194e-002,  3.542023995e+001,  3.514827032e+001,  -4.005004950e-001
97,1,-2.979661411e-001,  -5.872526097e-002,  -1.177699019e-001,  2.356336608e-002,  -1.105976036e-002,  1.011195495e-001,  1.499247935e-002,  1.790540317e-002,  3.537471383e+001,  3.513498532e+001,  -3.983039064e-001
97,0,  -3.319724079e-001,  -1.096202280e-001,  -1.175077231e-001,  -2.107979938e-002,  -8.579981099e-003,  -7.797224162e-002,  -6.506639556e-002,  2.846488148e-002,  3.535250948e+001,  3.509274258e+001,  -3.150997143e-001
98,1,-2.776289219e-001,  -4.661287234e-002,  -7.309974484e-002,  2.730107727e-002,  -1.267668678e-002,  -6.091378193e-003,  -5.365327901e-002,  -2.953623897e-002,  3.527584836e+001,  3.499921651e+001,  -3.977793366e-001
98,0,  -2.409955711e-001,  -9.145736150e-002,  -1.092054868e-001,  -2.328455447e-002,  -1.375512968e-002,  -7.395405730e-002,  -7.109236406e-002,  2.822667996e-002,  3.527089326e+001,  3.499304723e+001,  -3.256699162e-001
99,1,-2.366771939e-001,  -4.302650287e-002,  -1.186871888e-001,  3.847213736e-002,  -9.003973013e-003,  9.740464798e-002,  1.174234931e-002,  3.178396560e-002,  3.525272201e+001,  3.495212291e+001,  -3.756709300e-001
99,0,  -3.076881636e-001,  -7.563030317e-002,  -6.414666185e-002,  -8.107614577e-003,  -6.654658359e-003,  -8.038538544e-002,  -8.446214228e-002,  -3.924450357e-002,  3.525734276e+001,  3.493214616e+001,  -3.826197269e-001
100,1,-2.501173454e-001,  -5.126774351e-002,  -9.491119884e-002,  2.689647799e-002,  -1.046924004e-002,  5.034879492e-002,  -2.442993172e-002,  -1.364053050e-002,  3.513505175e+001,  3.489718433e+001,  -4.009192254e-001
100,0,  -2.709673386e-001,  -1.150314822e-001,  -1.916483798e-001,  -1.980810862e-002,  -8.637048308e-003,  1.236982699e-001,  3.036780014e-002,  3.951900125e-002,  3.514919773e+001,  3.490543092e+001,  -3.807791595e-001
101,1,-3.081909750e-001,  -4.555952154e-002,  -5.667225368e-002,  1.624776425e-002,  -1.350117376e-002,  -4.494373955e-002,  -7.468512042e-002,  -4.322724399e-002,  3.516650131e+001,  3.492363152e+001,  -4.080243738e-001
101,0,  -2.280032158e-001,  -9.297122461e-002,  -1.659705479e-001,  -1.030053193e-002,  -1.157343951e-002,  7.412454056e-002,  -3.768506265e-003,  3.849084143e-002,  3.517727889e+001,  3.488594501e+001,  -3.668243816e-001
102,1,-2.954041352e-001,  -3.825574726e-002,  -3.154154568e-002,  1.856048189e-002,  -1.208760762e-002,  -1.284464338e-001,  -1.128638368e-001,  -1.579303243e-002,  3.512315046e+001,  3.489571732e+001,  -3.362762271e-001
102,0,  -1.550115558e-001,  -3.522754052e-002,  -8.922303958e-002,  3.751178424e-002,  -1.242701108e-002,  -8.428815196e-002,  -9.904361521e-002,  4.780770532e-002,  3.512103315e+001,  3.487729406e+001,  -3.103214497e-001
103,1,-2.546719758e-001,  -3.876543716e-002,  -1.128105274e-001,  4.002910784e-002,  -8.460437256e-003,  9.798739861e-002,  1.037992548e-002,  3.333882933e-002,  3.503320798e+001,  3.483487270e+001,  -3.669517780e-001
103,0,  -3.215947190e-001,  -1.047442844e-001,  -1.808058328e-001,  -3.021618160e-003,  -3.309357313e-003,  1.284611512e-001,  3.645166739e-002,  4.625896247e-002,  3.503953931e+001,  3.482057444e+001,  -3.661222078e-001
104,1,-3.384107587e-001,  -5.630271082e-002,  -1.069267383e-001,  2.479920725e-002,  -9.511432828e-003,  6.687019768e-002,  -1.537380369e-002,  -1.200453028e-002,  3.503139801e+001,  3.478205118e+001,  -3.963815477e-001
104,0,  -3.252019571e-001,  -1.048183847e-001,  -9.520904158e-002,  -2.892724036e-002,  -1.010516154e-002,  -1.030567547e-001,  -8.337682327e-002,  -3.073820782e-003,  3.500784603e+001,  3.477958755e+001,  -3.367049609e-001
105,1,-2.636487451e-001,  -5.510271839e-002,  -8.054416101e-002,  2.684185038e-002,  -1.147668686e-002,  -7.791772467e-002,  -7.122745650e-002,  5.602980501e-002,  3.499987266e+001,  3.481826632e+001,  -3.006462816e-001
105,0,  -1.867779604e-001,  -2.439732607e-002,  -3.398799743e-002,  4.636413514e-002,  -1.107114107e-002,  -1.866404367e-001,  -1.598390232e-001,  -7.077590584e-003,  3.496817204e+001,  3.475940626e+001,  -3.145568274e-001
106,1,-2.232564996e-001,  -1.911365549e-002,  -1.145077590e-002,  3.092722562e-002,  -9.020354734e-003,  -1.506684895e-001,  -1.424634941e-001,  -4.639419827e-002,  3.495699604e+001,  3.468989077e+001,  -3.774009201e-001
106,0,  -1.345415475e-001,  -4.371608923e-002,  -1.027015587e-001,  1.741819027e-002,  -6.513217940e-003,  5.546823912e-003,  -7.768474326e-002,  -3.914955599e-002,  3.495163713e+001,  3.468686025e+001,  -4.076429226e-001
107,1,-2.673881835e-001,  -4.821096108e-002,  -1.113965931e-001,  2.740374782e-002,  -1.022916030e-002,  9.277132549e-002,  4.063501374e-003,  1.068626971e-002,  3.486744406e+001,  3.463854920e+001,  -3.887987992e-001
107,0,  -3.122477742e-001,  -1.103944277e-001,  -1.818340250e-001,  -1.099263771e-002,  -4.243376203e-003,  1.155523043e-001,  3.567214304e-002,  5.274404588e-002,  3.484995988e+001,  3.463820069e+001,  -3.607778364e-001
108,1,-3.186410215e-001,  -4.369909467e-002,  -4.953530232e-002,  2.030872866e-002,  -1.078409859e-002,  -1.074616479e-001,  -8.717178980e-002,  2.173424903e-002,  3.481418112e+001,  3.459382881e+001,  -3.255943048e-001
108,0,  -1.893894694e-001,  -2.229027465e-002,  -1.483821014e-002,  4.284214958e-002,  -1.130433141e-002,  -1.900727641e-001,  -1.817349714e-001,  -5.580159960e-002,  3.484691626e+001,  3.459024975e+001,  -3.690929921e-001
109,1,-2.349217825e-001,  -3.969349761e-002,  -7.431492707e-002,  3.110521307e-002,  -8.775147978e-003,  -4.804610533e-003,  -6.349500235e-002,  -3.079066885e-002,  3.484488940e+001,  3.452853525e+001,  -4.089306223e-001
109,0,  -2.383642964e-001,  -9.311383569e-002,  -1.324029072e-001,  -2.399501823e-002,  -1.154183683e-002,  5.150456281e-002,  -3.159639073e-002,  -4.343588315e-002,  3.483664363e+001,  3.454099084e+001,  -4.204238558e-001
110,1,-2.661093231e-001,  -4.283354964e-002,  -2.934282130e-002,  1.023509404e-002,  -1.422875690e-002,  -1.270409537e-001,  -1.099274855e-001,  -1.910923385e-002,  3.486275777e+001,  3.458653258e+001,  -3.649283530e-001
110,0,  -1.430672248e-001,  -2.635590592e-002,  -2.098292909e-002,  2.172789196e-002,  -1.666787732e-002,  -2.020111283e-001,  -1.791531387e-001,  -3.998763322e-002,  3.486521306e+001,  3.461286298e+001,  -3.535848117e-001
111,1,-2.165189447e-001,  -3.022633129e-002,  -7.163567765e-002,  3.607205479e-002,  -7.857627527e-003,  -6.371030251e-003,  -6.799880514e-002,  -3.204659769e-002,  3.477349349e+001,  3.456235680e+001,  -3.953957417e-001
111,0,  -2.328903085e-001,  -9.039089212e-002,  -1.535955694e-001,  -1.407511316e-002,  -6.079744617e-003,  4.342791989e-002,  -1.691862910e-002,  4.308756972e-002,  3.479127856e+001,  3.457200619e+001,  -3.323144759e-001
112,1,-2.767201443e-001,  -4.202438560e-002,  -1.038402144e-001,  3.218217161e-002,  -1.042335543e-002,  1.907872660e-002,  -1.672853968e-002,  7.288295856e-002,  3.478019189e+001,  3.451444387e+001,  -3.098435053e-001
112,0,  -2.607966043e-001,  -3.555106089e-002,  -3.797271094e-002,  3.247464429e-002,  -9.258748670e-003,  -1.307827455e-001,  -1.113273691e-001,  7.836387911e-003,  3.476134361e+001,  3.452760593e+001,  -3.219561430e-001
113,1,-2.336444071e-001,  -2.752271454e-002,  -7.349199586e-002,  3.663541389e-002,  -1.015655681e-002,  2.514133339e-002,  -4.460701949e-002,  -2.341124392e-002,  3.475265447e+001,  3.451412718e+001,  -3.948454902e-001
113,0,  -2.491627698e-001,  -9.277438534e-002,  -1.593948238e-001,  -1.304048365e-002,  -6.828083134e-003,  1.153044100e-001,  1.500940779e-002,  7.931533560e-003,  3.474906521e+001,  3.449693893e+001,  -3.902420329e-001
114,1,-3.170379058e-001,  -6.035740619e-002,  -1.023737938e-001,  2.031412322e-002,  -1.225854325e-002,  -2.863101196e-002,  -3.706370429e-002,  6.981654700e-002,  3.473902592e+001,  3.451195480e+001,  -3.003924760e-001
114,0,  -2.450840800e-001,  -5.164313164e-002,  -1.274307465e-001,  4.606843269e-002,  -1.052746405e-002,  7.914866026e-002,  -8.008856489e-003,  3.201112826e-002,  3.473456077e+001,  3.452265035e+001,  -3.627855834e-001
115,1,-3.075740088e-001,  -5.482377042e-002,  -1.350466358e-001,  3.074674223e-002,  -7.105638107e-003,  9.689502243e-002,  1.592752309e-002,  5.476499924e-002,  3.468146136e+001,  3.449526820e+001,  -3.402878474e-001
115,0,  -3.407142246e-001,  -9.068266715e-002,  -1.503580251e-001,  9.530557993e-003,  -2.443665609e-003,  1.109717616e-001,  2.669959123e-002,  1.677709706e-002,  3.468695992e+001,  3.448263693e+001,  -3.852406226e-001
116,1,-3.210062903e-001,  -4.935997359e-002,  -6.854720625e-002,  1.663518935e-002,  -1.233641718e-002,  -2.047130408e-002,  -6.443272155e-002,  -3.863501811e-002,  3.465332347e+001,  3.437621104e+001,  -4.072126532e-001
