Number of cycles,Semicycle,Time Stamp,1,2,3,4,5,6,7,8,9,10
15,1,1563274129503903700,1.261320336e+000,  1.235370935e+000,  1.223541386e+000,  1.228111786e+000,  1.199181836e+000,  1.046848044e+000,  1.017226403e+000,  9.847224825e-001,  9.641236151e-001,  9.202894705e-001
15,0,1563274130548963500,  5.594761230e-001,  5.496212539e-001,  5.516017015e-001,  5.508554516e-001,  5.467948471e-001,  5.388226789e-001,  5.784547899e-001,  6.273665412e-001,  6.502707709e-001,  6.856046453e-001
16,1,1563274132560078600,1.261341167e+000,  1.235382478e+000,  1.223549266e+000,  1.228089439e+000,  1.199174835e+000,  1.016911124e+000,  9.904643482e-001,  9.580521556e-001,  9.398634533e-001,  8.962723023e-001
16,0,1563274133590137500,  5.592219410e-001,  5.493835604e-001,  5.514108528e-001,  5.505858300e-001,  5.465982415e-001,  5.374171312e-001,  5.771376935e-001,  6.246866140e-001,  6.472853013e-001,  6.799809310e-001
17,1,1563274135664256100,1.261038538e+000,  1.235093980e+000,  1.223277648e+000,  1.227942524e+000,  1.198984180e+000,  1.043508900e+000,  1.013096522e+000,  9.782417144e-001,  9.571818561e-001,  9.133524244e-001
17,0,1563274136689314700,  5.589222986e-001,  5.490230716e-001,  5.511613266e-001,  5.503840648e-001,  5.464189716e-001,  5.337925241e-001,  5.737361893e-001,  6.223671261e-001,  6.445731262e-001,  6.790329042e-001
18,1,1563274138723431100,1.261237526e+000,  1.235275307e+000,  1.223449555e+000,  1.227999541e+000,  1.199086084e+000,  1.031976507e+000,  1.003483339e+000,  9.698883798e-001,  9.499109325e-001,  9.066317393e-001
18,0,1563274139751489900,  5.588522294e-001,  5.490701162e-001,  5.511379726e-001,  5.503566544e-001,  5.463596450e-001,  5.320664042e-001,  5.720129446e-001,  6.211281607e-001,  6.437464738e-001,  6.770840608e-001
19,1,1563274141826608600,1.260944063e+000,  1.234993748e+000,  1.223179902e+000,  1.227853283e+000,  1.198897295e+000,  1.042338036e+000,  1.012284977e+000,  9.770754298e-001,  9.562200933e-001,  9.106911545e-001
19,0,1563274142848667000,  5.587758557e-001,  5.488060997e-001,  5.509495888e-001,  5.502287243e-001,  5.462355093e-001,  5.511009847e-001,  5.893652922e-001,  6.377168580e-001,  6.579361295e-001,  6.906822670e-001
20,1,1563274144900784400,1.261094619e+000,  1.235134619e+000,  1.223291854e+000,  1.227885677e+000,  1.198960568e+000,  1.040963105e+000,  1.012347716e+000,  9.790220442e-001,  9.587005830e-001,  9.155988173e-001
20,0,1563274146007847700,  5.597044769e-001,  5.496903604e-001,  5.516825847e-001,  5.506725368e-001,  5.468483821e-001,  5.561090518e-001,  5.937571827e-001,  6.419398263e-001,  6.621409126e-001,  6.948684745e-001
21,1,1563274148035963700,1.261066622e+000,  1.235107541e+000,  1.223281002e+000,  1.227866320e+000,  1.198947756e+000,  1.017781902e+000,  9.928301126e-001,  9.611669187e-001,  9.441943566e-001,  9.030980336e-001
21,0,1563274149060022300,  5.591070269e-001,  5.493106504e-001,  5.513480183e-001,  5.504791600e-001,  5.464322958e-001,  5.431967148e-001,  5.820172740e-001,  6.288679650e-001,  6.508177555e-001,  6.835157483e-001
