Number of cycles,Semicycle,Time Stamp,1,2,3,4,5,6,7,8,9,10
1,1,1563274231261724000,1.258457182e+000,  1.232404413e+000,  1.220554192e+000,  1.225737895e+000,  1.196849954e+000,  1.026597440e+000,  9.952646521e-001,  9.618986833e-001,  9.364428520e-001,  8.751141835e-001
1,0,1563274232323784700,  5.536791402e-001,  5.438105334e-001,  5.458778664e-001,  5.455286220e-001,  5.417874284e-001,  5.440845378e-001,  5.728440063e-001,  6.144808939e-001,  6.319066030e-001,  6.549253452e-001
